id,distance,neighbors,p,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,Manhattan,5,1,0.7755187153816223,0.76436448097229,0.6263264417648315,0.7246513366699219,0.7288141250610352,0.8199169039726257,0.7887513041496277,0.7078167796134949,0.7886348366737366,0.7823932766914368,0.8211699724197388,0.919111430644989,0.7847727537155151,0.919111430644989
1,Euclidean,5,2,0.7729294300079346,0.7577573657035828,0.6218719482421875,0.7177435159683228,0.722564160823822,0.8202928304672241,0.7862799167633057,0.7007583379745483,0.7852616906166077,0.7807809710502625,0.8207638263702393,0.9143867492675781,0.7821230292320251,0.9143867492675781
2,Manhattan,9,1,0.7824877500534058,0.7684811949729919,0.6360377669334412,0.737942636013031,0.7385479807853699,0.824282705783844,0.794120728969574,0.7120992541313171,0.7906533479690552,0.7868337035179138,0.8212614059448242,0.9026173949241638,0.7850570678710938,0.9026173949241638
3,Euclidean,9,2,0.7801218628883362,0.7631142139434814,0.633004903793335,0.7328547835350037,0.7347086071968079,0.8239609599113464,0.7922586798667908,0.7079691290855408,0.7874698042869568,0.7860749959945679,0.8207807540893555,0.8984820246696472,0.7830299735069275,0.8984820246696472
4,Manhattan,13,1,0.7819631099700928,0.770029604434967,0.6420087218284607,0.7431826591491699,0.7428985238075256,0.8221929669380188,0.7937686443328857,0.7133145928382874,0.7902841567993164,0.7857871055603027,0.8179747462272644,0.8930935263633728,0.7830772995948792,0.8930935263633728
5,Euclidean,13,2,0.779099702835083,0.7650793790817261,0.6366335153579712,0.7391841411590576,0.739963173866272,0.8213428258895874,0.7906540036201477,0.7098818421363831,0.787219226360321,0.7846490740776062,0.8172368407249451,0.888924241065979,0.7811957597732544,0.888924241065979
6,Manhattan,17,1,0.7821899056434631,0.7699245810508728,0.6442360281944275,0.7455337643623352,0.7446489334106445,0.8205739855766296,0.7924482822418213,0.7134669423103333,0.7901961207389832,0.7864407896995544,0.8160250782966614,0.8864856958389282,0.7813446521759033,0.8864856958389282
7,Euclidean,17,2,0.7791842818260193,0.766028106212616,0.6395851373672485,0.7424079775810242,0.741852343082428,0.8184841871261597,0.7894995212554932,0.7103896737098694,0.7868974804878235,0.7842934131622314,0.8144883513450623,0.88224196434021,0.7803090810775757,0.88224196434021
8,Manhattan,21,1,0.7805483341217041,0.7702363133430481,0.6442630887031555,0.7464471459388733,0.7448012828826904,0.817529022693634,0.7899125814437866,0.7129828333854675,0.7881878018379211,0.7850690484046936,0.8140314221382141,0.8818491101264954,0.7803395390510559,0.8818491101264954
9,Euclidean,21,2,0.7782941460609436,0.7667260766029358,0.640448272228241,0.7435243129730225,0.7419065237045288,0.8153579831123352,0.7873429656028748,0.710189938545227,0.7855597138404846,0.7834059596061707,0.8119226694107056,0.877415657043457,0.7791957259178162,0.877415657043457
10,Manhattan,25,1,0.7786833643913269,0.7699754238128662,0.6426755785942078,0.7465351223945618,0.7441038489341736,0.8154460787773132,0.7875020503997803,0.7123159170150757,0.7876391410827637,0.7830604910850525,0.8117873072624207,0.8779237270355225,0.7791111469268799,0.8779237270355225
11,Euclidean,25,2,0.7761178016662598,0.7665464878082275,0.6397374868392944,0.7433992028236389,0.7412564754486084,0.8122453689575195,0.784312903881073,0.7087579369544983,0.7844387292861938,0.7811806797981262,0.80927574634552,0.8730398416519165,0.777842104434967,0.8730398416519165
12,Manhattan,29,1,0.7790015339851379,0.7687624096870422,0.6419546008110046,0.744552731513977,0.7432100176811218,0.8139591813087463,0.7869434356689453,0.7099326252937317,0.7872259616851807,0.7829318046569824,0.8100677728652954,0.8747197389602661,0.7780721783638,0.8747197389602661
13,Euclidean,29,2,0.7764562368392944,0.7664719820022583,0.6389927864074707,0.7425906658172607,0.7406470775604248,0.8112597465515137,0.7843366265296936,0.7069365978240967,0.7839781045913696,0.7814075946807861,0.8076781034469604,0.8694667220115662,0.7772498726844788,0.8694667220115662
14,Manhattan,33,1,0.7779015302658081,0.7687420845031738,0.641890287399292,0.7433348894119263,0.7417135834693909,0.8124011158943176,0.7856028079986572,0.7090321183204651,0.785566508769989,0.7824541926383972,0.8092520833015442,0.8715428709983826,0.7776085734367371,0.8715428709983826
15,Euclidean,33,2,0.7754645347595215,0.7672783732414246,0.6398457884788513,0.7416603565216064,0.7400579452514648,0.8097254037857056,0.7831618785858154,0.7061545848846436,0.7832770347595215,0.7813669443130493,0.807119607925415,0.8661848306655884,0.7775747179985046,0.8661848306655884
16,Manhattan,37,1,0.7768895030021667,0.7676815390586853,0.6408544778823853,0.7428917288780212,0.7411041259765625,0.8110260367393494,0.7841842770576477,0.7076915502548218,0.7848044633865356,0.7809198498725891,0.8082670569419861,0.8691381812095642,0.7761432528495789,0.8691381812095642
17,Euclidean,37,2,0.7744491696357727,0.7663736939430237,0.6397950053215027,0.7413153052330017,0.7401189208030701,0.8085670471191406,0.7812321186065674,0.7047496438026428,0.7828706502914429,0.7802119851112366,0.8058570623397827,0.8633297085762024,0.7759367823600769,0.8633297085762024
18,Manhattan,41,1,0.7774107456207275,0.76910799741745,0.642110288143158,0.7450398802757263,0.7424414753913879,0.8099489808082581,0.7842485904693604,0.7078574299812317,0.785109281539917,0.7812924385070801,0.8082907795906067,0.8665607571601868,0.7772194147109985,0.8665607571601868
19,Euclidean,41,2,0.7742663621902466,0.7661060094833374,0.6397848725318909,0.7418531775474548,0.7398886680603027,0.8069345355033875,0.7802875638008118,0.7042181491851807,0.7820883393287659,0.7793617844581604,0.8049837946891785,0.8610164523124695,0.7749351263046265,0.8610164523124695
20,Manhattan,45,1,0.7770790457725525,0.7679390907287598,0.6414028406143188,0.7443599104881287,0.7426581382751465,0.8092275261878967,0.7840183973312378,0.706523597240448,0.784225344657898,0.7805777788162231,0.8079184293746948,0.8647013902664185,0.7758251428604126,0.8647013902664185
21,Euclidean,45,2,0.7744931578636169,0.7654249668121338,0.6396833062171936,0.7413525581359863,0.7400579452514648,0.8059861660003662,0.7807480096817017,0.7030129432678223,0.7815735340118408,0.7783389091491699,0.805213987827301,0.858767569065094,0.7741838097572327,0.858767569065094
22,Manhattan,49,1,0.776493489742279,0.7667464017868042,0.6411421895027161,0.7429019212722778,0.7421740293502808,0.8082419037818909,0.783476710319519,0.7047361135482788,0.7830230593681335,0.7793042063713074,0.8069808483123779,0.8628352284431458,0.7743327617645264,0.8628352284431458
23,Euclidean,49,2,0.7739448547363281,0.7662110328674316,0.6404651999473572,0.7421745657920837,0.7412395477294922,0.8045534491539001,0.7798914313316345,0.7030197381973267,0.7808758616447449,0.7775700092315674,0.8043305277824402,0.8566643595695496,0.7739503383636475,0.8566643595695496
